"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"12","302015","和歌山(県)-12","地価調査","住宅","和歌山市","北中島１丁目９７番１５","北中島１－９－４４","135.187","34.2106","176000","176000","173000","170000","165000","155000","147000","135000","127000","120000","112000","105000","97000","92000","91000","90000","88000","85500","82300","80700","79000","78000","76800","75700","74700","135.187067907705","34.2105494355836","平成29年地価調査基準地"
"14","302015","和歌山(県)-14","地価調査","住宅","和歌山市","西浜字中川向ノ坪１４２４番６外","","135.156","34.2081","124000","124000","122000","120000","119000","117000","114000","108000","102000","92300","83500","78500","75200","72900","70700","68600","66100","62700","59000","57200","54500","51300","48800","46800","45000","135.155638204176","34.2080690767016","平成29年地価調査基準地"
"15","302015","和歌山(県)-15","地価調査","住宅","和歌山市","木ノ本字岩ノ谷１４５０番５０","","135.129","34.2706","105000","105000","105000","101000","98000","94000","83500","76500","68900","64800","58800","53000","48000","44400","41500","40000","38000","36600","34200","31000","29500","28800","28100","28000","28200","135.129078080699","34.2705385546177","平成29年地価調査基準地"
"16","302015","和歌山(県)-16","地価調査","住宅","和歌山市","松江東４丁目１１６７番５９","松江東４－７－３７","135.141","34.2471","150000","147000","146000","145000","143000","134000","121000","111000","102000","92000","85000","78200","73500","69500","66700","65400","63400","61500","59000","56600","54500","52900","51900","51200","50600","135.140718254802","34.2470988499866","平成29年地価調査基準地"
"17","302015","和歌山(県)-17","地価調査","住宅","和歌山市","西高松２丁目１２５番１３","西高松２－１１－３１","135.168","34.205","279000","270000","261000","245000","228000","213000","196000","185000","180000","172000","163000","154000","145000","141000","140000","140000","138000","136000","134000","132000","131000","131000","131000","133000","134000","135.168148274372","34.2049691785306","平成29年地価調査基準地"
"18","302015","和歌山(県)-18","地価調査","住宅","和歌山市","西浜字郷西ノ坪１０６３番４５","","135.158","34.1923","157000","157000","155000","154000","153000","151000","149000","139000","132000","124000","118000","113000","107000","103000","99900","97000","94000","89800","85500","83000","81000","78500","76600","75000","73500","135.15755824582","34.1922691487692","平成29年地価調査基準地"
"19","302015","和歌山(県)-19","地価調査","住宅","和歌山市","和歌浦東３丁目５９５番２３","和歌浦東３－２－２３","135.177","34.1919","153000","153000","151000","149000","147000","147000","142000","135000","128000","120000","113000","106000","98700","92900","90000","87500","84700","81700","78000","76400","72700","70500","68500","66600","65000","135.177208209951","34.1918392480919","平成29年地価調査基準地"
"20","302015","和歌山(県)-20","地価調査","住宅","和歌山市","和歌浦南２丁目１６６３番３３","和歌浦南２－５－１０","135.168","34.1884","177000","177000","175000","172000","168000","161000","153000","144000","136000","129000","122000","116000","110000","104000","98800","94800","90000","84700","78800","72500","69000","66900","63800","61500","59800","135.167618253075","34.1883392174981","平成29年地価調査基準地"
"21","302015","和歌山(県)-21","地価調査","住宅","和歌山市","黒田字桑ノ木２２９番１０外","","135.197","34.238","0","160000","160000","157000","155000","153000","145000","139000","134000","119000","113000","106000","99600","95500","95000","91700","88500","84500","81100","77800","73000","70000","66600","65300","64600","135.197157337049","34.2380092732585","平成29年地価調査基準地"
"23","302015","和歌山(県)-23","地価調査","住宅","和歌山市","秋月字川田９３番３２","","135.204","34.2341","156000","156000","153000","151000","150000","149000","143000","138000","134000","127000","120000","113000","103000","99500","96500","95000","92500","88500","84000","80000","78000","76500","72500","71100","70400","135.204167245553","34.2341293133728","平成29年地価調査基準地"
